Features,Strength
"(6, 7, 9, 10, 11, 12, 13, 15, 16)",2.0156688690185547
"(1, 5, 9, 12, 14, 15)",2.0153791427612306
"(3, 4, 5, 8, 9, 10, 11, 13, 14, 15)",2.0127906799316406
"(6, 7, 9, 12, 13, 15, 16)",2.012034034729004
"(1, 5, 8, 9, 10, 11, 15)",1.9999202728271483
"(1, 3, 8, 9, 11, 12, 13, 15)",1.9993637084960938
"(6, 7, 12, 13, 15, 16)",1.985984992980957
"(3, 4, 6, 7, 8, 9, 11, 12, 13, 15)",1.9585723876953125
"(5, 7, 9, 13, 16)",1.9574228286743165
"(8, 15, 16)",1.9525955200195313
"(3, 4, 5, 13)",1.940824317932129
"(1, 3, 5, 9, 12, 14, 15)",1.9348505020141602
"(4, 10, 12, 14, 16)",1.8995182037353515
"(3, 4, 5, 10, 13)",1.8905149459838868
"(3, 4, 5, 9, 10, 13)",1.8855045318603516
"(7, 8, 9, 11, 12, 15, 16)",1.8779005050659179
"(1, 3, 4, 5, 8, 10, 13)",1.8571741104125976
"(1, 2, 4, 8, 10, 12, 13, 15)",1.854441261291504
"(5, 15)",1.8279512405395846
"(1, 5, 6, 10, 13)",1.8201459884643554
"(1, 4, 5, 6, 10, 13)",1.7947710037231446
"(1, 5, 8, 10, 12, 13)",1.7927753448486328
"(3, 11)",1.7705581665040906
"(3, 8, 9, 12, 13)",1.7628763198852817
"(5, 8, 9, 12, 15, 16)",1.7570177078247071
"(1, 5, 12, 15)",1.735387992858921
"(1, 6, 10)",1.726174545288086
"(1, 6, 10, 11)",1.7122159957885743
"(1, 6, 10, 11, 14)",1.6764190673828125
"(8, 9, 10, 16)",1.6168657302856446
"(1, 8, 9, 10, 11, 14, 15)",1.5685523986816405
