Features,Strength
"(26, 30)",0.3979199886322021
"(2, 15)",0.39233582019805907
"(7, 12)",0.38911335468292235
"(12, 15)",0.38714768886566164
"(7, 8)",0.3812753438949585
"(7, 9)",0.38008909225463866
"(1, 25)",0.3800551414489746
"(7, 23)",0.3762351989746094
"(8, 29)",0.3706198692321777
"(2, 7)",0.368154239654541
"(2, 29)",0.3635888576507568
"(9, 29)",0.363289475440979
"(4, 15)",0.36305999755859375
"(14, 29)",0.36096556186676027
"(14, 15)",0.3578580379486084
"(6, 29)",0.3512734889984131
"(15, 17)",0.34821429252624514
"(10, 27)",0.3402914047241211
"(9, 18)",0.33763196468353274
"(12, 29)",0.33686676025390627
"(7, 17)",0.3362843990325928
"(15, 23)",0.3357387542724609
"(25, 30)",0.3292273759841919
"(4, 29)",0.3291478633880615
"(10, 25)",0.3281808376312256
"(24, 29)",0.3272890090942383
"(8, 15)",0.3251911163330078
"(7, 24)",0.3248624801635742
"(2, 18)",0.3220954656600952
"(1, 7)",0.3188605546951294
"(27, 30)",0.3141180992126465
"(4, 7)",0.3079825401306152
"(7, 29)",0.30737929344177245
"(1, 29)",0.30599384307861327
"(23, 29)",0.305452823638916
"(18, 22)",0.3052476167678833
"(11, 15)",0.30431716442108153
"(17, 29)",0.3023519515991211
"(7, 11)",0.30120253562927246
"(3, 7)",0.2965587854385376
"(12, 18)",0.29534220695495605
"(9, 19)",0.2829872131347656
"(11, 29)",0.2804386138916016
"(7, 22)",0.2763515949249268
"(12, 19)",0.27125651836395265
"(8, 18)",0.2663442611694336
"(22, 29)",0.2646451473236084
"(20, 28)",0.25676498413085935
"(2, 19)",0.2566210269927979
"(1, 15)",0.25439469814300536
"(3, 15)",0.25422990322113037
"(28, 29)",0.2513552665710449
"(9, 28)",0.24779701232910156
"(19, 20)",0.24597718715667724
"(3, 29)",0.24440217018127441
"(15, 30)",0.24418556690216064
"(7, 27)",0.24364194869995118
"(17, 18)",0.24327704906463624
"(14, 18)",0.23722512722015382
"(29, 30)",0.23621797561645508
"(18, 20)",0.23459713459014891
"(2, 28)",0.2323085308074951
"(11, 18)",0.23168158531188965
"(8, 28)",0.23036751747131348
"(14, 19)",0.22669384479522706
"(9, 21)",0.22578792572021483
"(6, 28)",0.22558510303497314
"(14, 28)",0.22313308715820312
"(12, 28)",0.2224562168121338
"(19, 23)",0.22160522937774657
"(4, 19)",0.21822900772094728
"(22, 28)",0.2156043291091919
"(15, 24)",0.21473195552825927
"(10, 15)",0.2137660026550293
"(2, 21)",0.21296770572662355
"(18, 23)",0.21243643760681152
"(7, 28)",0.21181941032409668
"(1, 19)",0.20735790729522705
"(24, 28)",0.20639572143554688
"(4, 28)",0.20637340545654298
"(9, 16)",0.20625381469726561
"(19, 22)",0.20391597747802734
"(1, 18)",0.20349736213684083
"(18, 30)",0.20255858898162843
"(5, 29)",0.2004382610321045
"(8, 19)",0.20030875205993653
"(3, 18)",0.19936834573745726
"(12, 21)",0.19879539012908937
"(6, 19)",0.19779596328735352
"(19, 24)",0.1959884285926819
"(5, 9)",0.1953667163848877
"(2, 16)",0.19501887559890746
"(1, 28)",0.19489554166793824
"(15, 27)",0.1937671422958374
"(17, 28)",0.19236524105072023
"(5, 20)",0.19215588569641112
"(20, 21)",0.19129037857055664
"(18, 24)",0.1912622332572937
"(7, 13)",0.19082963466644287
"(15, 26)",0.19072483777999877
"(15, 25)",0.19020910263061525
"(16, 20)",0.18895725011825562
"(14, 21)",0.18776509761810303
"(9, 13)",0.1875508189201355
"(7, 30)",0.18715659379959107
"(11, 19)",0.18681614398956298
"(13, 29)",0.18514226675033568
"(13, 20)",0.1838070869445801
"(17, 19)",0.18257522583007812
"(6, 13)",0.18213365077972413
"(13, 14)",0.18134982585906984
"(5, 8)",0.18038432598114013
"(3, 19)",0.1802844762802124
"(13, 22)",0.1798709511756897
"(12, 13)",0.17866430282592774
"(5, 14)",0.17802133560180664
"(3, 21)",0.17717798948287963
"(23, 28)",0.17601113319396972
"(1, 21)",0.17504348754882812
"(12, 16)",0.17463525533676147
"(5, 12)",0.1745263457298279
"(17, 21)",0.17387242317199708
"(21, 22)",0.17252501249313354
"(5, 22)",0.17157313823699952
"(4, 18)",0.17085545063018798
"(5, 6)",0.1707747220993042
"(8, 16)",0.17024013996124268
"(21, 24)",0.16850992441177368
"(8, 13)",0.16805367469787597
"(11, 28)",0.1674014687538147
"(11, 21)",0.167045521736145
"(3, 16)",0.16661843061447143
"(21, 23)",0.16570117473602294
"(4, 5)",0.1656632423400879
"(5, 28)",0.16556371450424195
"(2, 5)",0.16556025743484498
"(5, 24)",0.1654885768890381
"(7, 25)",0.16495946645736695
"(11, 16)",0.16447415351867675
"(5, 13)",0.1639604926109314
"(4, 21)",0.1630913496017456
"(6, 21)",0.16277579069137574
"(27, 29)",0.1611694097518921
"(10, 19)",0.16060460805892945
"(25, 29)",0.15858232975006104
"(5, 7)",0.15762938261032106
"(13, 28)",0.15685064792633058
"(7, 26)",0.15682487487792968
"(4, 13)",0.15649551153182983
"(2, 13)",0.15504306554794312
"(4, 16)",0.15452404022216798
"(13, 24)",0.15437586307525636
"(28, 30)",0.15262136459350586
"(26, 29)",0.15068039894104004
"(8, 21)",0.1505389094352722
"(16, 22)",0.1490251064300537
"(13, 27)",0.14812657833099366
"(19, 30)",0.1474815011024475
"(16, 17)",0.14638934135437012
"(1, 13)",0.14419596195220946
"(18, 27)",0.1428552031517029
"(13, 23)",0.14222149848937987
"(1, 5)",0.1412104845046997
"(15, 19)",0.14012085199356078
"(6, 16)",0.1401008129119873
"(14, 16)",0.13835632801055908
"(16, 23)",0.13697662353515624
"(7, 10)",0.13573564291000367
"(5, 23)",0.1350011110305786
"(16, 24)",0.13421330451965333
"(21, 30)",0.13271028995513917
"(27, 28)",0.13268558979034423
"(1, 16)",0.13226544857025146
"(3, 28)",0.13164477348327636
"(7, 15)",0.1292867422103882
"(10, 18)",0.12726984024047852
"(18, 26)",0.12553153038024903
"(5, 27)",0.12216508388519287
"(19, 21)",0.12199053764343262
"(18, 19)",0.11979848146438599
"(15, 28)",0.11965079307556152
"(18, 21)",0.11956754922866822
"(19, 27)",0.11609323024749756
"(18, 25)",0.11560722589492797
"(5, 17)",0.11541579961776734
"(16, 30)",0.11439387798309326
"(16, 26)",0.11192848682403564
"(25, 27)",0.11076496839523316
"(26, 27)",0.10999175310134887
"(15, 21)",0.10935367345809936
"(15, 29)",0.10870848894119263
"(13, 17)",0.10721548795700073
"(5, 11)",0.10651648044586182
"(15, 16)",0.10649826526641845
"(16, 25)",0.10514322519302369
"(10, 13)",0.10326341390609742
"(19, 29)",0.10053584575653077
"(5, 30)",0.09919753074645996
"(19, 28)",0.09889874458312989
"(7, 18)",0.09792973399162293
"(7, 19)",0.09700058698654175
"(5, 19)",0.0966225266456604
"(10, 29)",0.09598795175552369
"(5, 10)",0.09315335750579834
"(13, 19)",0.09273542165756225
"(11, 13)",0.091780686378479
"(21, 27)",0.09063705205917358
"(21, 26)",0.0899895191192627
"(21, 25)",0.0895263135433197
"(10, 21)",0.08751291036605835
"(3, 5)",0.08725671768188477
"(3, 13)",0.08718803524971008
"(26, 28)",0.08565436601638794
"(25, 28)",0.08563151359558105
"(13, 15)",0.08523528575897217
"(21, 29)",0.08512643575668336
"(18, 28)",0.08408430814743043
"(19, 25)",0.08352064490318298
"(19, 26)",0.08321174383163452
"(16, 21)",0.08223016858100891
"(21, 28)",0.07987242937088013
"(16, 18)",0.07986685037612914
"(16, 19)",0.0798664152622223
"(16, 27)",0.0748365044593811
"(10, 16)",0.07399126291275024
"(10, 28)",0.07361003160476684
"(5, 15)",0.07338932156562805
"(13, 30)",0.07321223020553588
"(7, 21)",0.07204753756523133
"(18, 29)",0.07063385248184204
"(5, 21)",0.06879463791847229
"(13, 21)",0.06629371643066406
"(5, 26)",0.0596946656703949
"(13, 26)",0.05904417634010315
"(13, 18)",0.05880745649337769
"(13, 25)",0.05825011134147644
"(5, 25)",0.05719438195228577
"(5, 18)",0.05162355899810791
"(16, 29)",0.04110237956047058
"(16, 28)",0.04098795056343078
"(5, 16)",0.03487490117549896
"(13, 16)",0.03406789004802704
"(7, 16)",0.03298139572143555
