Features,Strength
"(8, 10, 16)",239.12471923828124
"(2, 6, 9, 11)",237.631591796875
"(2, 3, 4, 10)",237.38984375
"(4, 5, 8, 9, 13)",237.295556640625
"(2, 4, 6, 9, 11)",236.1149658203125
"(3, 12, 15)",235.7767333984375
"(4, 11)",234.59487915039062
"(1, 2, 5, 8, 9, 11, 13)",233.515771484375
"(9, 16)",231.572509765625
"(3, 5, 6, 8, 9, 11, 13, 15, 16)",231.5005126953125
"(7, 10, 11)",230.7585693359375
"(6, 10, 12, 15)",229.94560546875
"(4, 5, 8, 9, 13, 15)",227.46767578125
"(3, 10, 12, 15)",226.1867919921875
"(10, 11, 14, 16)",224.34854736328126
"(2, 5, 11, 12, 13)",224.216064453125
"(8, 10, 11, 15)",224.052734375
"(2, 3, 4, 6, 10)",223.3116455078125
"(1, 5, 8, 9, 12)",223.19677734375
"(3, 10, 12, 13, 15)",222.678564453125
"(2, 4, 6, 9, 10, 11)",219.6317626953125
"(7, 8, 11, 15)",219.61803245544434
"(9, 10, 11, 13)",218.9369140625
"(5, 8, 10, 11, 15)",217.9253662109375
"(9, 12, 13, 15)",216.1928466796875
"(7, 11, 15, 16)",215.8575927734375
"(7, 11)",214.764111328125
"(2, 4, 5, 11, 12, 13)",213.28671875
"(2, 4, 5, 11, 12, 13, 16)",212.6935791015625
"(1, 5, 9, 12)",211.8547607421875
"(1, 2, 4, 8)",211.28642578125
"(4, 5, 6, 8)",211.2801513671875
"(2, 8, 15)",211.215087890625
"(3, 7, 15)",210.9471923828125
"(1, 8)",210.633154296875
"(1, 2, 4, 8, 16)",210.342431640625
"(4, 8, 10, 11)",210.2544189453125
"(4, 8, 10, 11, 15)",209.6583740234375
"(7, 14, 16)",209.593359375
"(2, 8, 12, 15)",209.2834228515625
"(2, 4, 5, 11, 12, 13, 14, 16)",209.1015625
"(7, 12, 14, 15)",207.71796875
"(6, 12, 13)",207.01889038085938
"(6, 8, 10, 11, 12, 15, 16)",205.542626953125
"(8, 9, 12, 15)",204.7208984375
"(10, 11, 13)",204.47449951171876
"(6, 8, 10, 11, 12, 13, 15, 16)",204.23399658203124
"(1, 12)",204.185498046875
"(3, 10, 11, 12, 13, 15)",203.79398193359376
"(8, 10, 15)",203.43740234375
"(3, 8, 13)",202.8652099609375
"(1, 2, 4, 8, 11, 16)",202.37515869140626
"(8, 9, 13, 15, 16)",202.34013671875
"(4, 7, 8, 10, 11, 15)",201.616796875
"(6, 7, 8, 11, 15)",199.30341606140138
"(2, 13, 15)",198.27498779296874
"(2, 4, 6, 12)",198.12557373046874
"(7, 11, 16)",198.0692138671875
"(4, 6, 7, 9, 10, 14)",197.49345703125
"(7, 9, 12, 13, 15)",197.4812255859375
"(4, 5, 6, 7, 8)",197.38231201171874
"(5, 7, 8, 9, 12)",197.27582702636718
"(4, 9, 10, 13)",197.08658447265626
"(1, 2, 5)",196.44395751953124
"(3, 8, 12, 13)",195.7361572265625
"(2, 4, 6, 7, 9, 11, 15)",195.696044921875
"(6, 7, 10, 12, 15)",194.94879150390625
"(8, 9, 11, 12, 13, 15)",194.83486328125
"(6, 7, 9, 11)",194.0143310546875
"(8, 9, 14, 15)",193.64869384765626
"(5, 7, 12)",192.1712158203125
"(6, 11, 16)",191.48184814453126
"(1, 4, 5, 6, 7, 8)",191.2283203125
"(9, 13, 15, 16)",190.8800842285156
"(1, 4, 7, 8, 10, 11, 15)",190.7025146484375
"(2, 8, 9, 12, 15)",190.0353515625
"(2, 8, 9, 11, 15)",189.1602783203125
"(8, 11, 12)",188.24930419921876
"(7, 9, 11, 12, 13, 15)",187.43707275390625
"(8, 9, 12, 14, 15)",186.17086181640624
"(5, 8, 9, 12, 14, 15)",185.90635986328124
"(1, 4, 6, 7, 8, 10, 11, 15)",185.800390625
"(3, 7, 8, 9, 10, 12, 13, 15, 16)",185.3064758300781
